Status,FeatureType,PropertyName,SubPropertyName,GISPropNum,OMPPropID,Borough,District,x,y
Activated,Misting Station,Newtown Barge Playground,,B135,B135,Brooklyn,B-01,-73.959782702112,40.7359820507185
Activated,Hydrant Spray Cap,Randall's Island Park,,M107,M107,Manhattan,M-11R,-73.934913286427,40.7836316072814
Activated,Hydrant Spray Cap,Randall's Island Park,,M107,M107,Manhattan,M-11R,-73.9341482801174,40.7833712248471
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8298133948064,40.5793258574036
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8285849443662,40.5796966182191
Activated,Hydrant Spray Cap,Randall's Island Park,,M107,M107,Manhattan,M-11R,-73.9316142301251,40.7828437559712
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8272631524509,40.580063302915
Activated,Misting Station,Sgt. William Dougherty Playground,,B096,B096,Brooklyn,B-01,-73.9370916967565,40.7237791654538
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8264370313894,40.5802996102474
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8248770601204,40.5807689618078
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8237194184227,40.5810924541126
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8227484584846,40.5813369055163
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8161749023251,40.5831670029666
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8127105625538,40.5839907759667
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8115733062895,40.58427025336
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8095240990288,40.5849872743082
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8081883586764,40.585478592482
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.806407372695,40.5859389448796
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8055029326835,40.5860008684764
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8046253145521,40.5860750128793
Activated,Misting Station,Rockaway Beach Boardwalk,,Q163,Q163,Queens,Q-14,-73.8034129563042,40.586164638322
