Status,Borough,GISPropNum,OMPPropID,SubPropertyName,PropertyName,Feature,System,FeatureType,District,x,y
Activated,B,B001,B001,American Playground,American Playground,Play Equipment,B001-SPRAY01,Sprinkler,B-01,995942.28193132,204739.17641795
Under Construction,B,B007,B007-01,Bensonhurst Park Playground,Bensonhurst Park,Play Equipment,B007-01-SPRAY02,Sprinkler,B-11,984301.850934222,156751.750522807
Activated,B,B012,B012,Brower Park,Brower Park,Play Equipment,B012-SPRAY03,Sprinkler,B-08,999976.546552641,184806.013628985
Activated,B,B016,B016-01,Maria Hernandez Park Playground,Maria Hernandez Park,Play Equipment,B016-01-SPRAY06,Sprinkler,B-04,1005252.1223538,195326.741614148
Activated,B,B019,B019,Carroll Park,Carroll Park,Play Equipment,B019-SPRAY08,Sprinkler,B-06,985505.164472475,187419.019568726
Activated,B,B021,B021,Commodore Barry Park,Commodore Barry Park,Play Equipment,B021-SPRAY09,Sprinkler,B-02,990090.59788689,193320.583881065
Activated,B,B022,B022,Middleton Playground,Middleton Playground,Play Equipment,B022-SPRAY010,Sprinkler,B-01,996610.81286481,194556.789085805
Activated,B,B023,B023,Lafayette Playground,Lafayette Playground,Play Equipment,B023-SPRAY011,Sprinkler,B-03,1003643.47891755,191601.130955144
Activated,B,B025,B025,Cooper Park,Cooper Park,Play Equipment,B025-SPRAY012,Sprinkler,B-01,1001648.00456205,200087.143510639
Activated,B,B025,B025-01,Carnegie Plgd,Cooper Park,Play Equipment,B025-01-SPRAY013,Sprinkler,B-01,1001589.01583488,200121.243179976
Activated,B,B026,B026,Cuyler Gore Park,Cuyler Gore Park,Play Equipment,B026-SPRAY014,Sprinkler,B-02,992034.283632054,189081.253448978
Activated,B,B028,B028-01,Bay 8 Playground,Dyker Beach Park,Play Equipment,B028-01-SPRAY015,Sprinkler,B-10,979730.727202475,160325.843440219
Activated,B,B028,B028-03,Dyker Plgd,Dyker Beach Park,Play Equipment,B028-03-SPRAY016,Sprinkler,B-10,980709.637318134,162511.406654387
Activated,B,B032,B032-01,Fort Greene Plgd,Fort Greene Park,Play Equipment,B032-01-SPRAY017,Sprinkler,B-02,990591.16447106,191549.66091372
Activated,B,B032,B032-02,Fort Greene Park,Fort Greene Park,Play Equipment,B032-02-SPRAY018,Sprinkler,B-02,991553.228491798,190751.136264055
Activated,B,B043,B043,Greenpoint Playground,Greenpoint Playground,Play Equipment,B043-SPRAY019,Sprinkler,B-01,995612.412000457,207304.984009886
