PropName,Borough,System,Type of Water Feature
Cooper Park,B,B025-SPRAY012,Spray Shower
Sunrise Playground,Q,Q430-SPRAY0531,Spray Shower
Crotona Park,X,X010-07-SPRAY0576,Spray Shower
Colonel David Marcus Playground,B,B128-SPRAY063,Spray Shower
CPL. Thompson Park,R,R109-01-SPRAY0723,Spray Shower
East River Playground,M,M258-SPRAY0345,Spray Shower
Manhattan Beach Park,B,B251-04-SPRAY0132,Spray Shower
Morris Garden,X,X292-SPRAY0689,Spray Shower
Mellett Playground,B,B197-SPRAY093,Spray Shower
Hoover - Manton Playgrounds,Q,Q220G-SPRAY0731,Spray Shower
Jacob H. Schiff Playground,M,M223-SPRAY0328,Spray Shower
Anibal Aviles Playground,M,M200A-SPRAY0314,Spray Shower
Bloomingdale Park,R,R106-01-SPRAY0711,Spray Shower
Corlears Hook Park,M,M017-SPRAY0233,Spray Shower
Torsney Playground,Q,Q340-SPRAY0474,Spray Shower
Rockaway Beach Boardwalk,Q,Q163-02-SPRAY0693,Spray Shower
Central Park,M,M010-164-SPRAY0218,Spray Shower
Holy Cow Playground,Q,Q300A1-SPRAY0741,Spray Shower
Bayside Playground,Q,Q389-SPRAY0509,Spray Shower
Henry Hudson Park,X,X080-01-SPRAY0597,Spray Shower
Mount Prospect Park,B,B159-01-SPRAY081,Spray Shower
Westbourne Playground,Q,Q266-SPRAY0439,Spray Shower
Wright Brothers Playground,M,M234-SPRAY0333,Spray Shower
Kissena Park,Q,Q024-03-SPRAY0380,Spray Shower
Stockton Playground,B,B298-SPRAY0163,Spray Shower
Colden Playground,Q,Q347-SPRAY0479,Spray Shower
Callahan-Kelly Playground,B,B219-SPRAY0108,Spray Shower
Belmont Playground,X,X108-SPRAY0611,Spray Shower
Wakefield Playground,X,X188-SPRAY0659,Spray Shower
Nehemiah Park,B,B396-SPRAY0208,Spray Shower
Gertrude Ederle Recreation Center,M,M063-SPRAY0762,Spray Shower
Twenty-Four Sycamores Park,M,M108Q-SPRAY0290,Spray Shower
Morgan Playground,X,X206-SPRAY0670,Spray Shower
Maria Hernandez Park,B,B016-01-SPRAY06,Spray Shower
Police Officer Nicholas Demutiis Park,Q,Q118-SPRAY0415,Spray Shower
Jaime Campiz Playground,B,B223R-SPRAY0112,Spray Shower
Jackie Robinson Park,M,M014-03-SPRAY0231,Spray Shower
Astoria Park,Q,Q004-01-SPRAY0356,Spray Shower
Middle Village Playground,Q,Q101-SPRAY0407,Spray Shower
Lyons Square Playground,X,X029-SPRAY0586,Spray Shower
Ravenswood Playground,Q,Q333-SPRAY0467,Spray Shower
FDR Beach and Boardwalk,R,R046-ZN04-SPRAY0736,Spray Shower
Madison Square Park,M,M052-02-SPRAY0253,Spray Shower
People's Park,X,X103-SPRAY0605,Spray Shower
Stroud Playground,B,B350-SPRAY0195,Spray Shower
Elmhurst Park,Q,Q492-SPRAY0749,Spray Shower
Middleton Playground,B,B022-SPRAY010,Spray Shower
Bowne Park,Q,Q006-01-SPRAY0361,Spray Shower
Baisley Pond Park,Q,Q005-12-SPRAY0754,Spray Shower
Crispus Attucks Playground,B,B102-SPRAY051,Spray Shower
Turtle Playground,Q,Q357G-SPRAY0487,Spray Shower
Ampere Playground,Q,Q378-SPRAY0504,Spray Shower
Wingate Park,B,B254-SPRAY0136,Spray Shower
Tall Oak Playground,Q,Q317-SPRAY0457,Spray Shower
Loreto Playground,X,X163-SPRAY0644,Spray Shower
Big Bush Playground,Q,Q205A-SPRAY0431,Spray Shower
Daniel Boone Playground,X,X147B-SPRAY0627,Spray Shower
MacLaughlin Playground,X,X224-SPRAY0676,Spray Shower
Mae Grant Playground,M,M213-SPRAY0321,Spray Shower
Hoffman Park,Q,Q360N-SPRAY0492,Spray Shower
Railroad Playground,B,B271-SPRAY0147,Spray Shower
Van Cortlandt Park,X,X092-06-SPRAY0601,Spray Shower
P.S. 279 Playground,B,B305-SPRAY0770,Spray Shower
Cunningham Park,Q,Q021-03-SPRAY0376,Spray Shower
Pulaski Playground,B,B322-SPRAY0178,Spray Shower
Coffey Park,B,B077-01-SPRAY039,Spray Shower
Eastchester Playground,X,X156-SPRAY0638,Spray Shower
Rainey Park,Q,Q048-01-SPRAY0727,Spray Shower
Lincoln Terrace / Arthur S. Somers Park,B,B054-01-SPRAY023,Spray Shower
Riverside Park,M,M072-01-SPRAY0271,Spray Shower
Sara D. Roosevelt Park,M,M105-SPRAY0285,Spray Shower
Frederick Johnson Playground,M,M159-SPRAY0301,Spray Shower
Lost Battalion Hall Recreation Center,Q,Q401-SPRAY0517,Spray Shower
Flushing Meadows Corona Park,Q,Q099-17-SPRAY0404,Spray Shower
Prospect Park,B,B073-02-SPRAY034,Spray Shower
Sternberg Park,B,B055-SPRAY0756,Spray Shower
Horseshoe Playground,X,X014-SPRAY0582,Spray Shower
Hamilton Fish Park,M,M033-SPRAY0241,Spray Shower
Poppenhusen Playground,Q,Q011-SPRAY0365,Spray Shower
Sgt. William Dougherty Playground,B,B096-SPRAY0757,Spray Shower
Taylor Playground,X,X176-SPRAY0653,Spray Shower
Cuyler Gore Park,B,B026-SPRAY014,Spray Shower
Harold Schneiderman Playground,Q,Q408-SPRAY0520,Spray Shower
Edmonds Playground,B,B321-SPRAY0177,Spray Shower
Nelson Playground,X,X168-SPRAY0648,Spray Shower
Ruppert Park,M,M294-SPRAY0350,Spray Shower
Van Alst Playground,Q,Q321-SPRAY0725,Spray Shower
Hot Spot Tot Lot,B,B212-SPRAY0103,Spray Shower
Roy Wilkins Recreation Center,Q,Q448-99-SPRAY0534,Spray Shower
Richmond Parkway,R,R065-02-SPRAY0714,Spray Shower
Havemeyer Playground,X,X148M1-SPRAY0631,Spray Shower
Mount Hope Playground,X,X257-SPRAY0680,Spray Shower
Dean Playground,B,B232-SPRAY0118,Spray Shower
DeSalvio Playground,M,M218-SPRAY0325,Spray Shower
P.S. 155 Playground,M,M239-SPRAY0338,Spray Shower
100% Playground,B,B342-SPRAY0189,Spray Shower
Marie Curie Playground,Q,Q364-SPRAY0496,Spray Shower
Breininger Park,Q,Q134-SPRAY0425,Spray Shower
Benson Playground,B,B277-SPRAY0151,Spray Shower
Conch Playground,Q,Q394-SPRAY0717,Spray Shower
Bronx Park,X,X002-05A-SPRAY0569,Spray Shower
Lindower Park,B,B329-SPRAY0180,Spray Shower
Irving Square Park,B,B049-SPRAY0764,Spray Shower
Triborough Bridge Playground C,Q,Q066C-SPRAY0737,Spray Shower
Shore Park and Parkway,B,B082-01B-SPRAY042,Spray Shower
Homecrest Playground,B,B166B-SPRAY086,Spray Shower
Levy Playground,R,R033-SPRAY0545,Spray Shower
Riverside Park,M,M071-13-SPRAY0267,Spray Shower
Josephine Caminiti Playground,Q,Q046-SPRAY0387,Spray Shower
Samuel N. Bennerson 2nd Playground,M,M184-SPRAY0306,Spray Shower
